tradedate,ticker,secid,open,high,low,close,volume,turnovervalue,openinterest
2015-01-05,600519,600519.SH,155.40371462201512,167.385585246284,154.6415299653414,165.9759534081347,9451517.0,1875063136.0,0
2015-01-06,600519,600519.SH,163.91067885456715,166.0087355439056,160.64885634536128,162.1322479889951,5502001.0,1094977375.0,0
2015-01-07,600519,600519.SH,160.6652474132467,163.50090215743074,155.70694937789608,158.12463189100094,5479784.0,1063925641.0,0
2015-01-08,600519,600519.SH,158.99335848893014,159.419526253952,155.82988238703697,157.15755888575896,4052530.0000000014,777874670.0,0
2015-01-09,600519,600519.SH,156.04296626954792,160.44396799679305,155.8052957852088,155.96920646406335,5398220.0,1039955153.0,0
2015-01-12,600519,600519.SH,155.7151449118388,157.83778820300543,151.1748191075673,152.78933929428476,4991459.0,934643414.0,0
2015-01-13,600519,600519.SH,153.2564847290203,154.51859695620044,151.28955658276547,151.51903153316186,3670808.0,683429624.0,0
2015-01-14,600519,600519.SH,151.6173779404746,152.84670803188388,148.24081795607052,150.12579076289805,5240344.0,965036184.0,0
2015-01-15,600519,600519.SH,150.70767367283176,152.7647526924566,149.55210338690705,152.49430007234656,4858552.0,895503097.0,0
2015-01-16,600519,600519.SH,152.600842013602,154.07603812329313,152.420540266862,152.5270822081175,3997806.0,746304289.0,0
2015-01-19,600519,600519.SH,148.33916436338328,150.1421818307835,140.52882051596313,143.8152296269972,6467937.0,1151544267.0,0
2015-01-20,600519,600519.SH,144.25778845990453,147.92938766624687,141.78273720920058,145.9460684521066,6102274.0,1086018454.0,0
2015-01-21,600519,600519.SH,146.10178359701843,149.89631581250165,145.2248614651465,149.45375697959435,5267474.0,950750407.0,0
2015-01-22,600519,600519.SH,149.46195251353706,151.09286376814,147.51961096911046,148.52766164406603,3825481.0,696541254.0,0
2015-01-23,600519,600519.SH,147.61795737642316,150.20774610232533,147.60976184248045,148.35555543126873,3308455.0000000005,600627336.0,0
2015-01-26,600519,600519.SH,148.91285173937425,150.38804784906534,148.38014203309692,149.81436047307437,3564906.0,650642102.0,0
2015-01-27,600519,600519.SH,149.83075154095985,149.83075154095985,145.88050418056477,147.60976184248045,4188362.0000000014,755025862.0,0
2015-01-28,600519,600519.SH,146.7000575748376,147.8474323268196,145.30681680457377,145.44614088160014,3068066.0,547979157.0,0
2015-01-29,600519,600519.SH,144.40530807087364,145.88050418056477,143.42184399774627,144.36433040116,3249254.0,571553419.0,0
2015-01-30,600519,600519.SH,145.05275525234921,148.33916436338328,144.65117408915552,145.20847039726104,4750834.0,848744494.0,0
2015-02-02,600519,600519.SH,143.83981622882538,144.56921874972824,142.19251390633698,143.27432438677712,3398336.0,593379653.0,0
2015-02-03,600519,600519.SH,145.45433641554285,146.41321388684213,144.40530807087364,146.1837389364457,2779280.0,493512567.0,0
2015-02-04,600519,600519.SH,146.82299058397854,149.22428202919792,145.06095078629193,145.26583913486016,3529371.0,634135328.0,0
2015-02-05,600519,600519.SH,146.6754709730094,148.257209023956,142.60229060347342,142.64326827318706,4123962.0000000014,735861121.0,0
2015-02-06,600519,600519.SH,143.12680477580804,144.65117408915552,142.27446924576427,143.09402264003714,3710238.0,648205629.0,0
2015-02-09,600519,600519.SH,144.05290011133636,151.69933327990188,143.42184399774627,151.04369056448363,8729358.0,1584342294.0,0
2015-02-10,600519,600519.SH,151.45346726162003,151.78128861932916,148.70796339080604,149.87992474461618,5363887.0,984795852.0,0
2015-02-11,600519,600519.SH,149.48653911536525,151.00271289476999,149.22428202919792,150.1012041610699,2289479.0,420358857.0,0
2015-02-12,600519,600519.SH,150.78962901225907,151.19940570939548,149.16691329159883,150.44541658666444,2505098.0,458818631.0,0
2015-02-13,600519,600519.SH,150.88797541957177,151.2076012433382,148.66698572109243,149.56029892084982,4012705.0000000014,734977407.0,0
2015-02-16,600519,600519.SH,149.60127659056343,150.49458979032082,148.5194661101233,150.23233270415352,3952108.0,722512103.0,0
2015-02-17,600519,600519.SH,150.429025518779,150.70767367283176,149.08495795217155,149.3390195043961,3417255.0000000005,624854087.0,0
