tradedate,close,sma1,sma2,sma3,sma4,sma5,sma6,sma7,sma8,sma9,sma10,sma11,sma12,sma13,sma14,sma15,sma16,sma17,sma18,sma19,sma20,roc1,roc2,roc3,roc4,roc5,roc6,roc7,roc8,roc9,roc10,roc11,roc12,roc13,roc14,roc15,roc16,roc17,roc18,roc19,roc20,long,short
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-07,0.0,0.5069108500345577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.730396997827368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-08,0.0,0.13103831204886993,0.5367388487877089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0682909568821803,-5.313055500691311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-09,0.0,0.15224695506089447,0.28559428811423254,0.6089878202435924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.363118067793101,-3.801243491886963,-6.029034169464742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-12,0.0,0.26938208747975073,0.4262902105994007,0.5457070122656804,0.7531589909743148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7795160617438364,-3.37410593967038,-5.762523378658447,-7.944894331424068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-13,0.0,0.10331365454199345,0.31016314352821844,0.46191201675871046,0.5844220148543101,0.774741319113818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8532394514213744,-3.5878181059657788,-4.177464496734751,-6.546024364353231,-8.710250839423272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-14,0.0,0.10557366868499199,0.20493712156497634,0.375097034621953,0.5132122341251351,0.6297158826269215,0.7996983609466141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.743281660676943,-3.746518837685908,-4.474342928660835,-5.058567430289241,-7.405348026083014,-9.54967410626113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-15,0.23952481812321458,0.0,0.014089695183714786,0.08536697670134935,0.25676397458329886,0.41108757712496247,0.5492613105653018,0.7542130951284639,1.0,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.23952481812321458,0.6436607529208382,-0.19310196856727746,-2.2279438810361984,-2.9672507300792406,-3.5606924432466047,-5.944497801142379,-8.122654552636766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-16,0.20416099552790953,0.20027221466071288,0.011666342601603501,0.0,0.053276297880618,0.2145310778404295,0.36998972250771256,0.5152634649037579,0.7338993669928924,1.0,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,0.20416099552790953,1.5995195982094534,0.6652964084812085,-0.17164619428200467,-2.2069255425358425,-2.946391322486408,-3.539960609515902,-5.92427842086638,-8.10290341694646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2015-01-19,0.0,0.39709977586090156,0.5284701940274905,0.5401752360252653,0.572600692793589,0.6135185310964686,0.6841579258885538,0.7506792094002606,0.8122136943708655,0.897975955987231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.691406459934456,-4.203515667649304,-5.084379056685428,-5.873518210588435,-7.792548999001648,-8.48977889027952,-9.049445423447732,-11.297578729211965,-13.351767726644304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2015-01-20,0.11621843105117825,0.0,0.27803024659167236,0.41615138195634127,0.4473515607539292,0.49348133800193167,0.5462266259405483,0.6291440065559116,0.7080384414810393,0.7817030470088654,0.8817159150169659,1.0,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,0.11621843105117825,-4.314652624791804,-4.294082872037408,-2.7841467409105536,-3.678061445261782,-4.478892882046869,-6.426356996479421,-7.133917396745915,-7.701876230952632,-9.983319011272297,-12.067943906774637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
